,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
3743,22,25200,RENT,1.0,MEDICAL,B,4000,,0,0.16,N,2
3748,23,26000,RENT,1.0,EDUCATION,B,4000,,0,0.15,N,4
3753,24,26400,RENT,3.0,DEBTCONSOLIDATION,B,4000,,1,0.15,N,3
3768,24,28000,RENT,8.0,MEDICAL,A,4000,,0,0.14,N,2
3769,23,38400,MORTGAGE,7.0,VENTURE,A,2000,,0,0.05,N,2
3780,21,38400,MORTGAGE,0.0,EDUCATION,A,4200,,0,0.11,N,2
3792,22,30000,RENT,1.0,EDUCATION,C,4000,,0,0.13,N,3
3802,26,32400,MORTGAGE,10.0,MEDICAL,D,10000,,1,0.31,Y,4
3803,22,30000,RENT,1.0,PERSONAL,C,4000,,0,0.13,N,4
3827,23,32535,RENT,6.0,PERSONAL,B,4000,,0,0.12,N,2
3831,21,38400,OWN,0.0,VENTURE,C,12200,,0,0.32,N,2
3836,23,38492,MORTGAGE,7.0,MEDICAL,B,6500,,0,0.17,N,4
3844,24,38500,MORTGAGE,5.0,PERSONAL,C,2500,,0,0.06,N,4
3845,23,38500,MORTGAGE,2.0,DEBTCONSOLIDATION,A,3000,,0,0.08,N,2
3846,25,34200,RENT,1.0,EDUCATION,B,4000,,0,0.12,N,2
3862,24,39000,MORTGAGE,8.0,VENTURE,A,1200,,0,0.03,N,2
3865,22,36000,RENT,6.0,VENTURE,B,4000,,0,0.11,N,4
3884,22,32400,RENT,4.0,VENTURE,D,4000,,1,0.12,Y,2
3898,25,34000,RENT,,HOMEIMPROVEMENT,A,4000,,1,0.12,N,2
3900,22,39000,MORTGAGE,6.0,PERSONAL,A,10750,,0,0.28,N,3
3902,22,40000,RENT,2.0,EDUCATION,A,4000,,0,0.1,N,2
3910,24,41160,RENT,2.0,MEDICAL,A,4000,,0,0.1,N,4
3930,22,42996,RENT,3.0,EDUCATION,C,4000,,0,0.09,N,4
3940,23,47000,RENT,3.0,DEBTCONSOLIDATION,A,4000,,0,0.09,N,4
3942,22,47004,RENT,2.0,PERSONAL,A,4000,,0,0.09,N,3
3946,22,48000,RENT,3.0,EDUCATION,A,4000,,0,0.08,N,4
3963,24,50000,RENT,0.0,PERSONAL,A,4000,,0,0.08,N,4
3972,22,39875,MORTGAGE,5.0,VENTURE,B,10000,,0,0.25,N,3
3993,26,52800,RENT,1.0,PERSONAL,A,4000,,0,0.08,N,3
3999,22,39996,OWN,5.0,EDUCATION,C,3500,,0,0.09,N,2
4010,22,57000,RENT,6.0,VENTURE,B,4000,,0,0.07,N,2
4021,25,39996,MORTGAGE,7.0,VENTURE,B,3200,,0,0.08,N,4
4035,22,63000,RENT,5.0,EDUCATION,B,4000,,0,0.06,N,4
4036,23,63500,RENT,0.0,EDUCATION,C,4000,,0,0.06,N,4
4047,24,67200,RENT,5.0,HOMEIMPROVEMENT,D,4000,,0,0.06,Y,2
4053,23,63996,RENT,2.0,HOMEIMPROVEMENT,D,4000,,1,0.06,Y,2
4061,25,40000,MORTGAGE,9.0,DEBTCONSOLIDATION,C,7100,,0,0.18,N,2
4069,23,40000,MORTGAGE,4.0,PERSONAL,B,6000,,0,0.15,N,2
4071,22,78972,RENT,5.0,MEDICAL,C,4000,,0,0.05,Y,2
4100,24,16000,RENT,2.0,DEBTCONSOLIDATION,D,4200,,1,0.26,N,4
4101,21,19000,RENT,2.0,HOMEIMPROVEMENT,C,4200,,1,0.22,Y,2
4102,23,21000,RENT,3.0,EDUCATION,A,4200,,0,0.2,N,3
4107,23,23520,RENT,8.0,MEDICAL,A,4200,,0,0.18,N,3
4111,25,40000,MORTGAGE,9.0,HOMEIMPROVEMENT,B,8000,,0,0.2,N,4
4112,26,29000,RENT,10.0,DEBTCONSOLIDATION,B,4200,,0,0.14,N,3
4117,23,40000,OWN,,VENTURE,A,2000,,0,0.05,N,4
4125,24,14400,RENT,0.0,DEBTCONSOLIDATION,B,4375,,1,0.3,N,2
4148,24,72000,RENT,6.0,PERSONAL,A,4400,,0,0.06,N,4
4169,23,40000,MORTGAGE,6.0,MEDICAL,B,13200,,0,0.33,N,4
4209,23,40000,MORTGAGE,7.0,VENTURE,B,14000,,0,0.35,N,3
4211,26,40000,MORTGAGE,5.0,MEDICAL,A,16000,,0,0.4,N,3
4246,22,40000,MORTGAGE,6.0,PERSONAL,A,4800,,0,0.12,N,2
4258,26,54396,RENT,10.0,MEDICAL,C,4500,,0,0.08,N,3
4265,24,40000,MORTGAGE,5.0,VENTURE,A,8000,,0,0.2,N,4
4270,23,54000,RENT,7.0,EDUCATION,B,4500,,1,0.08,N,2
4280,24,86854,RENT,8.0,VENTURE,A,4500,,0,0.05,N,4
4293,21,28416,RENT,6.0,PERSONAL,A,4600,,0,0.16,N,2
4294,24,30000,RENT,0.0,MEDICAL,C,4600,,0,0.15,Y,2
4295,22,40000,MORTGAGE,6.0,VENTURE,A,4750,,0,0.12,N,2
4299,23,46500,RENT,3.0,EDUCATION,D,4600,,0,0.1,Y,4
4301,25,40000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,4750,,0,0.12,N,3
4304,21,40000,MORTGAGE,5.0,EDUCATION,C,8000,,0,0.2,N,3
4341,22,21000,RENT,4.0,EDUCATION,D,4750,,0,0.23,N,2
4346,24,28800,RENT,0.0,EDUCATION,C,4750,,0,0.16,Y,4
4359,23,20400,RENT,0.0,PERSONAL,A,4800,,0,0.24,N,2
4370,22,40000,MORTGAGE,6.0,PERSONAL,C,10000,,0,0.25,Y,3
4372,26,24000,RENT,0.0,EDUCATION,A,4800,,0,0.2,N,3
4377,23,26400,RENT,,PERSONAL,A,4800,,0,0.18,N,4
4391,23,30000,RENT,0.0,EDUCATION,B,4800,,0,0.16,N,4
4421,22,30000,RENT,4.0,PERSONAL,C,4800,,1,0.16,N,3
4441,22,40542,MORTGAGE,6.0,VENTURE,A,6250,,0,0.15,N,2
4449,22,40800,MORTGAGE,7.0,EDUCATION,C,17050,,0,0.42,Y,2
4463,24,40800,MORTGAGE,8.0,EDUCATION,A,1200,,0,0.03,N,3
4472,25,48000,RENT,9.0,MEDICAL,B,4800,,0,0.1,N,3
4478,23,40800,MORTGAGE,1.0,EDUCATION,B,16000,,0,0.39,N,4
4485,23,34900,MORTGAGE,2.0,MEDICAL,F,4000,,1,0.11,Y,4
4488,26,50000,RENT,0.0,VENTURE,B,4800,,0,0.1,N,3
4507,26,41000,OWN,7.0,HOMEIMPROVEMENT,D,9000,,0,0.22,N,4
4518,23,70000,RENT,2.0,PERSONAL,C,4800,,0,0.07,N,2
4533,26,95000,RENT,4.0,DEBTCONSOLIDATION,A,4800,,0,0.05,N,4
4536,24,105000,RENT,5.0,HOMEIMPROVEMENT,C,4800,,0,0.05,Y,2
4552,25,41004,OWN,1.0,PERSONAL,B,12000,,0,0.29,N,2
4578,21,102000,RENT,5.0,EDUCATION,D,10000,,0,0.1,Y,3
4579,23,41496,OWN,4.0,VENTURE,E,7200,,0,0.17,N,2
4596,22,41604,OWN,1.0,PERSONAL,B,14400,,0,0.35,N,4
4602,21,35760,MORTGAGE,5.0,HOMEIMPROVEMENT,E,2400,,1,0.07,N,3
4613,23,91800,RENT,7.0,MEDICAL,B,10000,,1,0.09,N,4
4635,22,42000,OWN,6.0,VENTURE,A,4800,,0,0.11,N,3
4640,25,42000,OWN,6.0,EDUCATION,A,18000,,0,0.43,N,2
4650,22,29004,RENT,,EDUCATION,B,9975,,1,0.34,N,2
4658,25,42000,MORTGAGE,9.0,EDUCATION,A,9100,,0,0.22,N,3
4659,22,83200,RENT,6.0,DEBTCONSOLIDATION,C,9975,,0,0.12,N,3
4666,22,33000,RENT,,DEBTCONSOLIDATION,C,9800,,1,0.3,N,2
4676,22,60000,RENT,4.0,PERSONAL,B,9800,,0,0.16,N,3
4677,25,60000,RENT,4.0,PERSONAL,A,9800,,0,0.16,N,3
4680,22,42000,OWN,3.0,VENTURE,A,7000,,0,0.17,N,3
4696,23,54096,RENT,2.0,PERSONAL,B,4900,,0,0.09,N,2
4715,22,27996,RENT,4.0,MEDICAL,C,5000,,0,0.18,Y,3
4724,22,42000,MORTGAGE,4.0,PERSONAL,A,7050,,0,0.17,N,4
4735,26,30000,RENT,4.0,PERSONAL,C,5000,,0,0.17,Y,2
4736,23,36000,MORTGAGE,7.0,HOMEIMPROVEMENT,A,10750,,1,0.3,N,3
4737,22,30000,RENT,2.0,EDUCATION,C,5000,,0,0.17,Y,2
4740,26,30000,RENT,11.0,MEDICAL,B,5000,,0,0.17,N,2
4742,23,30000,RENT,0.0,EDUCATION,C,5000,,0,0.17,N,3
4758,22,42000,OWN,0.0,EDUCATION,C,12000,,0,0.29,N,4
4777,24,32000,RENT,1.0,MEDICAL,A,5000,,0,0.16,N,3
4783,23,32400,RENT,0.0,MEDICAL,B,5000,,0,0.15,N,2
4793,24,33000,RENT,8.0,MEDICAL,C,5000,,0,0.15,N,3
4796,23,33017,RENT,1.0,PERSONAL,B,5000,,0,0.15,N,4
4804,25,34000,RENT,6.0,VENTURE,A,5000,,0,0.15,N,2
4809,22,34500,RENT,1.0,VENTURE,C,5000,,0,0.14,N,4
4813,22,34992,RENT,1.0,PERSONAL,B,5000,,0,0.14,N,3
4820,25,36000,MORTGAGE,6.0,MEDICAL,D,10000,,1,0.28,N,2
4822,22,35000,RENT,6.0,MEDICAL,B,5000,,0,0.14,N,4
4823,23,35000,RENT,3.0,MEDICAL,B,5000,,0,0.14,N,2
4833,23,29000,RENT,1.0,MEDICAL,F,5000,,1,0.17,Y,3
4840,21,35550,RENT,3.0,PERSONAL,C,5000,,0,0.14,N,4
4850,23,36000,RENT,0.0,EDUCATION,B,5000,,0,0.14,N,3
4860,22,42000,MORTGAGE,1.0,EDUCATION,A,13000,,0,0.31,N,4
4876,23,42000,OWN,1.0,PERSONAL,B,5400,,0,0.13,N,2
4880,23,32000,RENT,5.0,HOMEIMPROVEMENT,B,5000,,1,0.16,N,4
4882,21,38000,RENT,0.0,EDUCATION,C,5000,,0,0.13,Y,4
4893,25,42348,MORTGAGE,9.0,DEBTCONSOLIDATION,A,8000,,0,0.19,N,2
4902,23,42500,MORTGAGE,2.0,EDUCATION,B,12600,,0,0.3,N,4
4924,22,34000,RENT,6.0,PERSONAL,B,5000,,1,0.15,N,4
4930,23,40000,RENT,2.0,MEDICAL,C,5000,,0,0.13,N,3
4943,23,42996,MORTGAGE,2.0,VENTURE,D,8500,,0,0.2,Y,4
4952,22,41000,RENT,6.0,VENTURE,A,5000,,0,0.12,N,2
4953,23,41017,RENT,6.0,DEBTCONSOLIDATION,A,5000,,0,0.12,N,2
4957,23,43000,MORTGAGE,7.0,VENTURE,A,15600,,0,0.36,N,4
4963,22,43000,MORTGAGE,3.0,VENTURE,A,2600,,0,0.06,N,4
4978,24,37000,MORTGAGE,8.0,HOMEIMPROVEMENT,B,10000,,1,0.27,N,2
5006,22,43000,MORTGAGE,3.0,EDUCATION,A,2000,,0,0.05,N,3
5009,25,45000,RENT,2.0,MEDICAL,C,5000,,0,0.11,N,4
5027,25,45600,RENT,6.0,DEBTCONSOLIDATION,C,5000,,0,0.11,N,2
5059,21,42000,RENT,2.0,PERSONAL,D,5000,,1,0.12,N,4
5066,23,42000,RENT,0.0,DEBTCONSOLIDATION,C,5000,,1,0.12,Y,2
5069,24,43200,MORTGAGE,3.0,HOMEIMPROVEMENT,C,16000,,0,0.37,Y,2
5070,22,48000,RENT,6.0,VENTURE,B,5000,,0,0.1,N,2
5104,23,43600,OWN,7.0,EDUCATION,C,15000,,0,0.34,N,3
5105,23,49029,RENT,1.0,MEDICAL,A,9000,,1,0.18,N,2
5106,24,56000,RENT,8.0,HOMEIMPROVEMENT,D,9000,,0,0.16,Y,2
5120,24,58800,RENT,4.0,EDUCATION,A,9000,,0,0.15,N,2
5130,24,44000,MORTGAGE,,MEDICAL,A,4000,,0,0.09,N,3
5132,23,60000,RENT,2.0,VENTURE,A,9000,,0,0.15,N,4
5135,21,44000,MORTGAGE,2.0,DEBTCONSOLIDATION,A,12000,,0,0.27,N,2
5140,22,60000,RENT,0.0,DEBTCONSOLIDATION,C,9000,,0,0.15,N,2
5146,25,62604,RENT,2.0,PERSONAL,A,9000,,0,0.14,N,3
5165,22,70000,RENT,4.0,EDUCATION,B,9000,,0,0.13,N,2
5167,26,44000,OWN,10.0,VENTURE,C,5000,,0,0.11,N,2
5185,25,80000,RENT,0.0,EDUCATION,C,9000,,0,0.11,N,2
5199,23,88000,RENT,5.0,MEDICAL,B,9000,,0,0.1,N,2
5212,25,100500,RENT,5.0,PERSONAL,B,9000,,0,0.09,N,4
5229,23,44496,MORTGAGE,2.0,VENTURE,A,3500,,0,0.08,N,4
5245,24,28800,RENT,2.0,PERSONAL,B,8875,,1,0.31,N,2
5249,24,30000,RENT,0.0,MEDICAL,B,8850,,0,0.29,N,4
5272,25,45000,MORTGAGE,9.0,EDUCATION,A,5000,,0,0.11,N,3
5279,25,50000,RENT,0.0,PERSONAL,A,5000,,0,0.1,N,2
5283,24,50004,RENT,9.0,VENTURE,C,5000,,0,0.1,N,4
5292,21,45000,OWN,2.0,VENTURE,A,6000,,0,0.13,N,2
5293,21,45996,RENT,5.0,DEBTCONSOLIDATION,D,5000,,1,0.11,Y,3
5294,25,45996,RENT,2.0,DEBTCONSOLIDATION,G,5000,,1,0.11,Y,4
5295,24,45000,MORTGAGE,0.0,MEDICAL,B,3000,,0,0.07,N,3
5324,24,28800,RENT,1.0,DEBTCONSOLIDATION,A,8500,,0,0.3,N,2
5348,24,39000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,5000,,1,0.13,N,3
5372,22,46968,RENT,1.0,PERSONAL,C,8500,,1,0.18,N,4
5373,24,45000,MORTGAGE,8.0,PERSONAL,A,4000,,0,0.09,N,2
5379,21,60996,RENT,2.0,VENTURE,B,8500,,0,0.14,N,2
5384,22,45000,MORTGAGE,3.0,EDUCATION,C,3000,,0,0.07,N,4
5387,23,66200,RENT,5.0,PERSONAL,A,8500,,0,0.13,N,2
5407,24,45000,OWN,8.0,HOMEIMPROVEMENT,A,10000,,0,0.22,N,3
5410,23,45000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,1450,,0,0.03,N,2
5428,25,55000,RENT,3.0,DEBTCONSOLIDATION,C,5000,,0,0.09,Y,4
5429,22,55000,RENT,3.0,EDUCATION,C,5000,,0,0.09,Y,3
5437,25,56000,RENT,2.0,DEBTCONSOLIDATION,B,5000,,0,0.09,N,4
5453,24,45000,MORTGAGE,5.0,EDUCATION,A,5000,,0,0.11,N,4
5467,24,45000,MORTGAGE,4.0,MEDICAL,A,1500,,0,0.03,N,2
5480,23,60000,RENT,2.0,DEBTCONSOLIDATION,A,5000,,0,0.08,N,3
5495,24,60996,RENT,8.0,HOMEIMPROVEMENT,A,5000,,0,0.08,N,2
5501,25,62000,RENT,9.0,DEBTCONSOLIDATION,A,5000,,0,0.08,N,2
5538,25,45000,MORTGAGE,4.0,HOMEIMPROVEMENT,C,2700,,0,0.06,Y,4
5544,26,45000,MORTGAGE,2.0,VENTURE,B,12000,,0,0.27,N,3
5546,26,45000,MORTGAGE,10.0,MEDICAL,B,4325,,0,0.1,N,4
5548,24,67200,RENT,4.0,EDUCATION,B,5000,,0,0.07,N,4
5553,24,45000,MORTGAGE,0.0,VENTURE,A,3600,,0,0.08,N,2
5561,26,70000,RENT,3.0,PERSONAL,D,5000,,0,0.07,Y,3
5563,23,45000,OWN,4.0,PERSONAL,D,6400,,0,0.14,Y,3
5566,22,71000,RENT,5.0,MEDICAL,B,5000,,0,0.07,N,3
5574,22,72000,RENT,6.0,PERSONAL,D,5000,,0,0.07,N,3
5575,24,72000,RENT,6.0,MEDICAL,A,5000,,0,0.07,N,3
5580,24,74000,RENT,2.0,MEDICAL,A,5000,,0,0.07,N,4
5582,23,75000,RENT,4.0,VENTURE,B,5000,,0,0.07,N,3
5589,26,45000,OWN,2.0,MEDICAL,C,7000,,0,0.16,N,3
5611,23,39292,MORTGAGE,3.0,PERSONAL,A,3250,,1,0.08,N,4
5662,24,100000,RENT,1.0,DEBTCONSOLIDATION,A,5000,,0,0.05,N,3
5671,22,45975,MORTGAGE,6.0,MEDICAL,B,10375,,0,0.23,N,4
5672,25,106000,RENT,4.0,PERSONAL,B,5000,,0,0.05,N,4
5674,25,39996,MORTGAGE,9.0,DEBTCONSOLIDATION,D,1500,,1,0.04,Y,3
5675,24,80155,RENT,8.0,MEDICAL,F,5000,,1,0.05,N,3
5677,25,45996,OWN,0.0,HOMEIMPROVEMENT,A,3850,,0,0.08,N,2
5680,26,45996,OWN,5.0,HOMEIMPROVEMENT,A,9225,,0,0.2,N,2
5681,24,45996,MORTGAGE,6.0,EDUCATION,C,8500,,0,0.18,N,3
5687,24,88400,RENT,8.0,MEDICAL,D,5000,,1,0.05,N,4
5689,23,120000,RENT,2.0,EDUCATION,A,5000,,0,0.04,N,4
5699,24,150000,RENT,8.0,VENTURE,B,5000,,0,0.03,N,4
5746,25,46000,MORTGAGE,1.0,HOMEIMPROVEMENT,C,8600,,0,0.19,N,2
5748,23,21600,RENT,0.0,MEDICAL,C,5400,,0,0.25,Y,4
5753,21,46002,MORTGAGE,4.0,VENTURE,D,4000,,0,0.09,Y,3
5756,26,33600,RENT,0.0,PERSONAL,A,5400,,0,0.16,N,4
5779,23,46500,OWN,2.0,DEBTCONSOLIDATION,D,6000,,0,0.13,Y,2
5797,23,20400,RENT,5.0,VENTURE,D,5500,,0,0.27,Y,2
5801,23,46800,OWN,7.0,VENTURE,C,9000,,0,0.19,Y,4
5830,22,33000,RENT,0.0,DEBTCONSOLIDATION,E,5500,,1,0.17,Y,3
5836,25,33280,RENT,1.0,MEDICAL,B,5500,,0,0.17,N,4
5837,23,33600,RENT,1.0,DEBTCONSOLIDATION,B,5500,,0,0.16,N,3
5854,25,40000,RENT,6.0,VENTURE,B,5500,,0,0.14,N,3
5872,24,47000,MORTGAGE,1.0,DEBTCONSOLIDATION,B,8500,,0,0.18,N,3
5877,22,44052,RENT,3.0,DEBTCONSOLIDATION,D,5500,,1,0.12,Y,2
5901,22,47091,MORTGAGE,6.0,VENTURE,A,10000,,0,0.21,N,3
5933,23,30000,RENT,3.0,VENTURE,B,5600,,0,0.19,N,4
5934,25,30000,RENT,9.0,HOMEIMPROVEMENT,C,5600,,1,0.19,Y,4
5949,24,38000,RENT,6.0,VENTURE,A,5600,,0,0.15,N,3
5954,25,40000,RENT,2.0,DEBTCONSOLIDATION,B,5600,,0,0.14,N,3
5960,22,47940,MORTGAGE,4.0,DEBTCONSOLIDATION,B,15000,,0,0.31,N,4
5971,24,50000,RENT,4.0,HOMEIMPROVEMENT,B,5600,,0,0.11,N,4
5987,23,56880,RENT,7.0,EDUCATION,B,5600,,0,0.1,N,2
5993,26,48000,MORTGAGE,7.0,MEDICAL,A,10000,,0,0.21,N,3
5996,22,48000,MORTGAGE,6.0,EDUCATION,A,15000,,0,0.31,N,4
5997,22,48000,MORTGAGE,5.0,PERSONAL,B,3000,,0,0.06,N,3
6001,24,48000,MORTGAGE,9.0,VENTURE,A,8400,,0,0.17,N,4
6019,21,48000,OWN,5.0,VENTURE,B,15000,,0,0.31,N,2
6024,26,36000,RENT,0.0,EDUCATION,C,5650,,0,0.16,Y,3
6030,23,66500,RENT,0.0,VENTURE,A,5675,,0,0.09,N,2
6031,26,48000,MORTGAGE,0.0,DEBTCONSOLIDATION,C,12000,,0,0.25,N,3
6042,21,42000,MORTGAGE,5.0,DEBTCONSOLIDATION,B,8325,,1,0.2,N,2
6047,22,95000,RENT,0.0,EDUCATION,A,5750,,0,0.06,N,3
6095,23,48000,MORTGAGE,7.0,VENTURE,A,14125,,0,0.29,N,2
6111,24,48000,MORTGAGE,4.0,DEBTCONSOLIDATION,B,12000,,0,0.25,N,3
6113,22,18000,RENT,1.0,MEDICAL,B,6000,,1,0.33,N,3
6118,21,18996,RENT,0.0,DEBTCONSOLIDATION,A,6000,,1,0.32,N,4
6120,22,48000,MORTGAGE,6.0,MEDICAL,B,3800,,0,0.08,N,2
6139,25,22800,RENT,,MEDICAL,B,6000,,0,0.26,N,3
6143,25,48000,MORTGAGE,2.0,VENTURE,B,5000,,0,0.1,N,4
6149,22,23631,RENT,,PERSONAL,B,6000,,0,0.25,N,3
6160,24,48000,MORTGAGE,3.0,VENTURE,A,9600,,0,0.2,N,4
6163,23,24000,RENT,0.0,DEBTCONSOLIDATION,B,6000,,0,0.25,N,2
6172,25,25000,RENT,2.0,PERSONAL,B,6000,,0,0.24,N,2
6175,21,25000,RENT,3.0,DEBTCONSOLIDATION,B,6000,,0,0.24,N,4
6182,25,48000,MORTGAGE,5.0,EDUCATION,C,16750,,0,0.35,Y,4
6183,26,48000,MORTGAGE,10.0,VENTURE,A,4000,,0,0.08,N,2
6190,23,25800,RENT,2.0,VENTURE,C,6000,,0,0.23,Y,3
6221,23,28800,RENT,4.0,MEDICAL,B,6000,,0,0.21,N,3
6263,26,30000,RENT,0.0,DEBTCONSOLIDATION,D,6000,,1,0.2,Y,2
6267,22,48156,MORTGAGE,6.0,DEBTCONSOLIDATION,A,3000,,0,0.06,N,2
6275,23,48500,MORTGAGE,1.0,VENTURE,C,6500,,0,0.13,N,4
6285,22,32001,RENT,4.0,VENTURE,D,6000,,0,0.19,Y,3
6316,22,35000,RENT,7.0,EDUCATION,B,6000,,0,0.17,N,2
6319,23,35004,RENT,1.0,EDUCATION,B,6000,,0,0.17,N,2
6324,21,35324,RENT,4.0,MEDICAL,B,6000,,0,0.17,N,4
6327,25,49000,OWN,6.0,VENTURE,C,3000,,0,0.06,N,3
6333,25,36000,RENT,9.0,MEDICAL,B,6000,,0,0.17,N,4
6355,21,49000,MORTGAGE,5.0,VENTURE,A,14000,,0,0.29,N,3
6404,23,43600,MORTGAGE,5.0,DEBTCONSOLIDATION,B,25000,,1,0.57,N,3
6410,22,33000,RENT,3.0,HOMEIMPROVEMENT,B,6000,,1,0.18,N,4
6414,22,33000,RENT,2.0,EDUCATION,D,6000,,1,0.18,N,4
6425,24,40000,RENT,2.0,MEDICAL,B,6000,,0,0.15,N,3
6432,26,40000,RENT,4.0,EDUCATION,B,6000,,0,0.15,N,2
6444,22,34000,RENT,4.0,PERSONAL,A,6000,,1,0.18,N,2
6471,25,42000,RENT,1.0,MEDICAL,B,6000,,0,0.14,N,4
6476,22,42000,RENT,7.0,EDUCATION,A,6000,,0,0.14,N,3
6479,25,44000,MORTGAGE,9.0,DEBTCONSOLIDATION,D,15000,,1,0.34,Y,2
6505,22,50000,MORTGAGE,6.0,VENTURE,C,10000,,0,0.2,N,4
6507,24,45000,RENT,5.0,EDUCATION,B,6000,,0,0.13,N,3
6519,24,45000,RENT,8.0,PERSONAL,B,6000,,0,0.13,N,3
6528,23,50000,MORTGAGE,0.0,VENTURE,A,6100,,0,0.12,N,4
6533,21,46200,RENT,5.0,EDUCATION,A,6000,,0,0.13,N,4
6553,24,48000,RENT,0.0,EDUCATION,A,6000,,0,0.13,N,3
6565,22,50000,MORTGAGE,6.0,VENTURE,B,7200,,0,0.14,N,3
6580,22,48996,RENT,6.0,PERSONAL,B,6000,,0,0.12,N,2
6582,22,50000,OWN,1.0,MEDICAL,A,3600,,0,0.07,N,2
6584,25,49000,RENT,8.0,EDUCATION,C,6000,,0,0.12,Y,2
6602,26,50000,RENT,4.0,PERSONAL,B,6000,,0,0.12,N,3
6645,26,50000,MORTGAGE,9.0,DEBTCONSOLIDATION,A,10000,,0,0.2,N,3
6651,26,50000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,6000,,0,0.12,N,3
6661,25,50000,MORTGAGE,9.0,PERSONAL,A,12000,,0,0.24,N,2
6666,25,55000,RENT,3.0,HOMEIMPROVEMENT,B,6000,,0,0.11,N,3
6683,25,50000,MORTGAGE,5.0,EDUCATION,B,12000,,0,0.24,N,2
6684,21,55600,RENT,2.0,MEDICAL,A,6000,,0,0.11,N,4
6690,26,44000,MORTGAGE,3.0,EDUCATION,A,22500,,1,0.51,N,3
6699,22,50000,OWN,2.0,MEDICAL,D,10400,,0,0.21,Y,4
6701,25,50000,OWN,3.0,MEDICAL,A,10000,,0,0.2,N,3
6709,23,60000,RENT,1.0,DEBTCONSOLIDATION,A,6000,,0,0.1,N,2
6716,24,50000,MORTGAGE,4.0,MEDICAL,A,4000,,0,0.08,N,2
6718,21,60000,RENT,5.0,MEDICAL,A,6000,,0,0.1,N,4
6726,25,50000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,4000,,0,0.08,N,4
6732,23,60495,RENT,8.0,MEDICAL,A,6000,,0,0.1,N,3
6734,25,61000,RENT,9.0,EDUCATION,A,6000,,0,0.1,N,4
6736,22,61104,RENT,6.0,EDUCATION,B,6000,,0,0.1,N,4
6740,25,62000,RENT,2.0,VENTURE,A,6000,,0,0.1,N,3
6745,22,28000,RENT,6.0,DEBTCONSOLIDATION,B,7125,,0,0.25,N,4
6779,25,22880,RENT,2.0,VENTURE,C,7000,,1,0.31,N,3
6787,23,50000,MORTGAGE,1.0,PERSONAL,A,9000,,0,0.18,N,2
6788,25,23460,RENT,5.0,MEDICAL,B,7000,,0,0.3,N,2
6811,24,50000,MORTGAGE,3.0,HOMEIMPROVEMENT,B,12000,,0,0.24,N,3
6814,24,65000,RENT,3.0,MEDICAL,A,6000,,0,0.09,N,2
6843,23,50000,MORTGAGE,0.0,PERSONAL,A,6500,,0,0.13,N,4
6857,22,71000,RENT,4.0,MEDICAL,B,6000,,0,0.08,N,4
6875,24,50000,MORTGAGE,7.0,PERSONAL,D,9000,,0,0.18,Y,3
6883,24,50000,MORTGAGE,0.0,HOMEIMPROVEMENT,B,5500,,0,0.11,N,3
6884,22,50004,MORTGAGE,,PERSONAL,B,4950,,0,0.1,N,2
6889,22,50004,MORTGAGE,4.0,DEBTCONSOLIDATION,A,6250,,0,0.12,N,4
6896,22,50004,MORTGAGE,6.0,VENTURE,D,7200,,0,0.14,Y,2
6900,22,80000,RENT,1.0,EDUCATION,A,6000,,0,0.07,N,2
6908,25,82000,RENT,5.0,MEDICAL,C,6000,,0,0.07,N,3
6909,23,50004,MORTGAGE,7.0,PERSONAL,A,6000,,0,0.12,N,3
6916,23,83954,RENT,7.0,EDUCATION,A,6000,,0,0.07,N,2
6937,22,75000,RENT,6.0,EDUCATION,B,6000,,1,0.08,N,2
6973,24,110000,RENT,0.0,PERSONAL,B,6000,,0,0.05,N,4
6985,22,50900,MORTGAGE,6.0,DEBTCONSOLIDATION,C,22000,,0,0.43,Y,3
6986,22,60000,RENT,0.0,VENTURE,A,6025,,0,0.1,N,3
7003,22,30000,RENT,3.0,EDUCATION,D,6200,,0,0.21,Y,3
7004,21,51000,MORTGAGE,5.0,EDUCATION,B,13000,,0,0.25,N,3
7012,25,50606,RENT,3.0,MEDICAL,A,6200,,0,0.12,N,4
7016,22,46000,RENT,1.0,DEBTCONSOLIDATION,D,6200,,1,0.13,N,4
7022,23,65000,RENT,8.0,PERSONAL,A,6200,,0,0.1,N,2
7042,22,20000,RENT,3.0,EDUCATION,D,6250,,1,0.31,Y,3
7103,26,51500,MORTGAGE,7.0,VENTURE,B,11000,,0,0.21,N,3
7108,23,62100,RENT,3.0,MEDICAL,B,7000,,0,0.11,N,2
7119,25,51600,OWN,2.0,VENTURE,D,6000,,0,0.12,N,4
7123,26,65000,RENT,3.0,EDUCATION,A,7000,,0,0.11,N,2
7133,21,65000,RENT,0.0,VENTURE,A,7000,,0,0.11,N,4
7152,22,54400,RENT,2.0,MEDICAL,E,7000,,1,0.11,Y,2
